transaction_id,vendor,amount,category,date,payment_method,note,vendor_group,category_merged,day_of_week,month,amount_log,vendor_encoded,payment_encoded,category_encoded
e541e1ae-893d-4479-a25d-326c8f7b559e,NortonLifeLock,18.77,SecuritySystem,2025-06-12,Visa,Story do here.,Technology,Other,3,6,2.9841656371825254,9,4,5
23b8a680-a487-4131-ba03-3a191faf5232,Republic Services,120.4,Trash,2025-05-01,MasterCard,Black board dark toward data economic.,Energy & Utilities,Other,3,5,4.799090878625398,0,2,5
70dc4c45-ede7-4a89-afae-cb1949fe8992,Consolidated Edison,52.67,Utilities,2025-06-05,Visa,Act peace stock whether.,Energy & Utilities,Housing & Bills,3,6,3.9828541861887374,0,4,4
1c80e262-f04e-41e4-a138-ff16bb52efdd,Paychex,36.52,Payroll,2025-02-21,Visa,Cost receive contain hit.,Finance & Insurance,Other,4,2,3.624874124138024,2,4,5
00c48818-534c-41f7-a229-b4386cafac1a,Molson Coors Beverage Company,6.78,Alcohol,2025-03-24,Visa,Unit magazine ten.,Retail,Food & Dining,0,3,2.0515563381903004,8,4,2
2f4506d9-8a36-46ae-8863-04af4370a496,Alliant Energy,6.78,Utilities,2025-06-17,MasterCard,Public record authority environmental light left.,Energy & Utilities,Housing & Bills,1,6,2.0515563381903004,0,2,4
560a717f-3c72-4d39-a6a3-5d3744b561a0,Corteva,7.390000000000001,Fertilizer,2025-03-03,Apple Pay,Image along structure PM drive.,Manufacturing / Industrial,Other,0,3,2.127040520479115,5,1,5
4b6858a8-b0c6-4eb1-8f38-1baa3079f850,Align Technology,80.45,Health,2025-02-17,MasterCard,Must song account.,Healthcare,Other,0,2,4.399989335048054,4,2,5
46487468-5538-4013-bbf7-554df1251474,Prudential Financial,36.76,LifeInsurance,2025-01-25,Apple Pay,Area or often ever return.,Finance & Insurance,Other,5,1,3.6312503412773,2,1,5
b06bca38-f455-43a9-a237-de0f0483b82d,Hess Corporation,49.25,Gas,2025-05-15,PayPal,Order her order assume situation.,Energy & Utilities,Transport & Travel,3,5,3.917010546939185,0,3,7
c2cec366-b7a1-4f82-a585-1d2d3210bdc0,Mohawk Industries,5.83,HomeImprovement,2025-04-30,Visa,Involve pick be mention detail.,Manufacturing / Industrial,Other,2,4,1.9213246735826988,5,4,5
0102622c-1508-4660-a97d-47d9180d2498,S&P Global,140.14,Investments,2025-05-31,PayPal,Police lawyer whom stand push.,Finance & Insurance,Other,5,5,4.949752305572684,2,3,5
638f9d56-2d99-492f-9051-4587f0e7ce07,Extra Space Storage,71.46,Storage,2025-04-30,MasterCard,Card town government age number.,Real Estate,Other,2,4,4.283034685466931,7,2,5
afb67a03-57d1-45c5-9da9-91826823bd45,Comcast,9.55,Internet,2025-04-15,Visa,Catch but budget.,Technology,Other,1,4,2.3561258599220753,9,4,5
5e4d02ff-370a-468c-b9f0-9be7f9f354bb,AvalonBay Communities,8.03,Rent,2025-04-04,Visa,Cold become drive simple.,Real Estate,Housing & Bills,4,4,2.200552367428894,7,4,4
a07211f2-3883-438e-bdd2-8c2e4e22e5c9,First Republic Bank,8.1,BankFees,2025-04-13,Apple Pay,Probably reality hair similar man.,Finance & Insurance,Financial Services,6,4,2.2082744135228043,2,1,1
c72090bb-f0f2-4fc7-9c0c-88eebfcb8b34,Diamondback Energy,14.51,Gas,2025-06-29,PayPal,Can population indeed candidate player certain.,Energy & Utilities,Transport & Travel,6,6,2.7414849771884473,0,3,7
e0591d15-e52f-499a-a8fb-bcb538ac372d,Loews Corporation,29.76,Insurance,2025-06-09,PayPal,Analysis consumer process big.,Finance & Insurance,Housing & Bills,0,6,3.4262151446374434,2,3,4
8f684732-f832-4f10-aaf1-70a5c4a8c8b3,Arthur J. Gallagher & Co.,22.62,Insurance,2025-02-19,AmEx,Affect with own side.,Finance & Insurance,Housing & Bills,2,2,3.1620938107692163,2,0,4
816b5da0-6384-4de7-bdff-9f11ed75b51f,Teledyne Technologies,13.77,Electronics,2025-01-31,Apple Pay,Process first back daughter follow of.,Technology,Shopping & Electronics,4,1,2.6925980965432883,9,1,6
